Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeBand,CompanyAgeBand
50,No,Travel_Rarely,989,Research & Development,7,Medical,Female,43,Research Director,Divorced,18740,16701,5,Yes,12,29,2,27,3,13,8,41–50,21–30
59,No,Travel_Rarely,1435,Sales,25,Life Sciences,Female,99,Sales Executive,Single,7637,2354,7,No,11,28,3,21,16,7,9,51–60,21–30
36,No,Travel_Rarely,1223,Research & Development,8,Technical Degree,Female,59,Healthcare Representative,Divorced,10096,8202,1,No,13,17,2,17,14,12,8,31–40,11–20
55,No,Travel_Rarely,836,Research & Development,8,Medical,Female,33,Manager,Divorced,14756,19730,2,Yes,14,21,2,5,0,0,2,51–60,0–10
36,No,Travel_Frequently,1195,Research & Development,11,Life Sciences,Male,95,Manufacturing Director,Single,6499,22656,1,No,13,6,3,6,5,0,3,31–40,0–10
45,No,Travel_Rarely,1339,Research & Development,7,Life Sciences,Male,59,Research Scientist,Divorced,9724,18787,2,No,17,25,2,1,0,0,0,41–50,0–10
35,No,Travel_Frequently,664,Research & Development,1,Medical,Male,79,Research Scientist,Married,2194,5868,4,No,13,5,2,3,2,1,2,31–40,0–10
36,Yes,Travel_Rarely,318,Research & Development,9,Medical,Male,79,Research Scientist,Married,3388,21777,0,Yes,17,2,0,1,0,0,0,31–40,0–10
59,No,Travel_Frequently,1225,Sales,1,Life Sciences,Female,57,Sales Executive,Single,5473,24668,7,No,11,20,2,4,3,1,3,51–60,0–10
29,No,Travel_Rarely,1328,Research & Development,2,Life Sciences,Male,76,Research Scientist,Married,2703,4956,0,No,23,6,3,5,4,0,4,18–30,0–10
31,No,Travel_Rarely,1082,Research & Development,1,Medical,Male,87,Research Scientist,Single,2501,18775,1,No,17,1,4,1,1,1,0,31–40,0–10
32,No,Travel_Rarely,548,Research & Development,1,Life Sciences,Male,66,Research Scientist,Married,6220,7346,1,No,17,10,3,10,4,0,9,31–40,0–10
36,No,Travel_Rarely,132,Research & Development,6,Life Sciences,Female,55,Laboratory Technician,Married,3038,22002,3,No,12,5,3,1,0,0,0,31–40,0–10
31,No,Travel_Rarely,746,Research & Development,8,Life Sciences,Female,61,Manufacturing Director,Single,4424,20682,1,No,23,11,2,11,7,1,8,31–40,11–20
35,No,Travel_Rarely,776,Sales,1,Marketing,Male,32,Sales Executive,Single,4312,23016,0,No,14,16,2,15,13,2,8,31–40,11–20
45,No,Travel_Rarely,193,Research & Development,6,Other,Male,52,Research Director,Married,13245,15067,4,Yes,14,17,3,0,0,0,0,41–50,0
37,No,Travel_Rarely,397,Research & Development,7,Medical,Male,30,Research Director,Single,13664,25258,4,No,13,16,3,5,2,0,2,31–40,0–10
46,No,Travel_Rarely,945,Human Resources,5,Medical,Male,80,Human Resources,Divorced,5021,10425,8,Yes,22,16,2,4,2,0,2,41–50,0–10
30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,Male,55,Laboratory Technician,Married,5126,15998,1,Yes,12,10,1,10,8,3,0,18–30,0–10
35,No,Travel_Rarely,1214,Research & Development,1,Medical,Male,30,Research Scientist,Single,2859,26278,1,No,18,6,3,6,4,0,4,31–40,0–10
55,No,Travel_Rarely,111,Sales,1,Life Sciences,Male,70,Sales Executive,Married,10239,18092,3,No,14,24,4,1,0,1,0,51–60,0–10
38,No,Non-Travel,573,Research & Development,6,Medical,Female,79,Research Scientist,Divorced,5329,15717,7,Yes,12,17,3,13,11,1,9,31–40,11–20
34,No,Travel_Rarely,1153,Research & Development,1,Medical,Male,94,Manufacturing Director,Married,4325,17736,1,No,15,5,2,5,2,1,3,31–40,0–10
56,No,Travel_Rarely,1400,Research & Development,7,Life Sciences,Male,49,Manufacturing Director,Single,7260,21698,4,No,11,37,3,6,4,0,2,51–60,0–10
23,No,Travel_Rarely,541,Sales,2,Technical Degree,Male,62,Sales Representative,Divorced,2322,9518,3,No,13,3,3,0,0,0,0,18–30,0
51,No,Travel_Rarely,432,Research & Development,9,Life Sciences,Male,96,Laboratory Technician,Married,2075,18725,3,No,23,10,4,4,2,0,3,51–60,0–10
30,No,Travel_Rarely,288,Research & Development,2,Life Sciences,Male,99,Healthcare Representative,Married,4152,15830,1,No,19,11,3,11,10,10,8,18–30,11–20
46,Yes,Travel_Rarely,669,Sales,9,Medical,Male,64,Sales Executive,Single,9619,13596,1,No,16,9,3,9,8,4,7,41–50,0–10
40,No,Travel_Frequently,530,Research & Development,1,Life Sciences,Male,78,Healthcare Representative,Married,13503,14115,1,No,22,22,3,22,3,11,11,31–40,21–30
51,No,Travel_Rarely,632,Sales,21,Marketing,Male,71,Sales Executive,Single,5441,8423,0,Yes,22,11,2,10,7,1,0,51–60,0–10
30,No,Travel_Rarely,1334,Sales,4,Medical,Female,63,Sales Executive,Divorced,5209,19760,1,Yes,12,11,4,11,8,2,7,18–30,11–20
46,No,Travel_Frequently,638,Research & Development,1,Medical,Male,40,Healthcare Representative,Married,10673,3142,2,Yes,13,21,5,10,9,9,5,41–50,0–10
32,No,Travel_Rarely,1093,Sales,6,Medical,Male,87,Sales Executive,Single,5010,24301,1,No,16,12,0,11,8,5,7,31–40,11–20
54,No,Travel_Rarely,1217,Research & Development,2,Technical Degree,Female,60,Research Director,Married,13549,24001,9,No,12,16,5,4,3,0,3,51–60,0–10
24,No,Travel_Rarely,1353,Sales,3,Other,Female,33,Sales Executive,Married,4999,17519,0,No,21,4,2,3,2,0,2,18–30,0–10
28,No,Non-Travel,120,Sales,4,Medical,Male,43,Sales Executive,Married,4221,8863,1,No,15,5,3,5,4,0,4,18–30,0–10
58,No,Travel_Rarely,682,Sales,10,Medical,Male,37,Sales Executive,Single,13872,24409,0,No,13,38,1,37,10,1,8,51–60,31–40
44,No,Non-Travel,489,Research & Development,23,Medical,Male,67,Laboratory Technician,Married,2042,25043,4,No,12,17,3,3,2,1,2,41–50,0–10
37,Yes,Travel_Rarely,807,Human Resources,6,Human Resources,Male,63,Human Resources,Divorced,2073,23648,4,Yes,22,7,3,3,2,0,2,31–40,0–10
32,No,Travel_Rarely,827,Research & Development,1,Life Sciences,Male,71,Research Scientist,Single,2956,15178,1,No,13,1,2,1,0,0,0,31–40,0–10
20,Yes,Travel_Frequently,871,Research & Development,6,Life Sciences,Female,66,Laboratory Technician,Single,2926,19783,1,Yes,18,1,5,1,0,1,0,18–30,0–10
34,No,Travel_Rarely,665,Research & Development,6,Other,Female,41,Research Scientist,Single,4809,12482,1,No,14,16,3,16,13,2,10,31–40,11–20
37,No,Non-Travel,1040,Research & Development,2,Life Sciences,Male,100,Healthcare Representative,Divorced,5163,15850,5,No,14,17,2,1,0,0,0,31–40,0–10
59,No,Non-Travel,1420,Human Resources,2,Human Resources,Female,32,Manager,Married,18844,21922,9,No,21,30,3,3,2,2,2,51–60,0–10
50,No,Travel_Frequently,1115,Research & Development,1,Life Sciences,Female,73,Research Director,Married,18172,9755,3,Yes,19,28,1,8,3,0,7,41–50,0–10
25,Yes,Travel_Rarely,240,Sales,5,Marketing,Male,46,Sales Executive,Single,5744,26959,1,Yes,11,6,1,6,4,0,3,18–30,0–10
25,No,Travel_Rarely,1280,Research & Development,7,Medical,Male,64,Research Scientist,Married,2889,26897,1,No,11,2,2,2,2,2,1,18–30,0–10
22,No,Travel_Rarely,534,Research & Development,15,Medical,Female,59,Laboratory Technician,Single,2871,23785,1,No,15,1,5,0,0,0,0,18–30,0
51,No,Travel_Frequently,1456,Research & Development,1,Medical,Female,30,Healthcare Representative,Single,7484,25796,3,No,20,23,1,13,12,12,8,51–60,11–20
34,Yes,Travel_Frequently,658,Research & Development,7,Life Sciences,Male,66,Laboratory Technician,Single,6074,22887,1,Yes,24,9,3,9,7,0,6,31–40,0–10
54,No,Non-Travel,142,Human Resources,26,Human Resources,Female,30,Manager,Single,17328,13871,2,Yes,12,23,3,5,3,4,4,51–60,0–10
24,No,Travel_Rarely,1127,Research & Development,18,Life Sciences,Male,52,Laboratory Technician,Married,2774,13257,0,No,12,6,2,5,3,1,2,18–30,0–10
34,No,Travel_Rarely,1031,Research & Development,6,Life Sciences,Female,45,Research Scientist,Divorced,4505,15000,6,No,15,12,3,1,0,0,0,31–40,0–10
37,No,Travel_Rarely,1189,Sales,3,Life Sciences,Male,87,Sales Executive,Single,7428,14506,2,No,12,12,3,5,3,1,3,31–40,0–10
34,No,Travel_Rarely,1354,Research & Development,5,Medical,Female,45,Manager,Single,11631,5615,2,No,12,14,6,11,10,5,8,31–40,11–20
36,No,Travel_Frequently,1467,Sales,11,Technical Degree,Female,92,Sales Executive,Married,9738,22952,0,No,14,10,6,9,7,2,8,31–40,0–10
36,No,Travel_Rarely,922,Research & Development,3,Life Sciences,Female,39,Laboratory Technician,Divorced,2835,2561,5,No,22,7,2,1,0,0,0,31–40,0–10
43,No,Travel_Frequently,394,Sales,26,Life Sciences,Male,92,Manager,Married,16959,19494,1,Yes,12,25,3,25,12,4,12,41–50,21–30
30,No,Travel_Frequently,1312,Research & Development,23,Life Sciences,Male,96,Research Scientist,Divorced,2613,22310,1,No,25,10,2,10,7,0,9,18–30,0–10
33,No,Non-Travel,750,Sales,22,Marketing,Male,95,Sales Executive,Married,6146,15480,0,No,13,8,2,7,7,0,7,31–40,0–10
56,Yes,Travel_Rarely,441,Research & Development,14,Life Sciences,Female,72,Research Scientist,Married,4963,4510,9,Yes,18,7,2,5,4,4,3,51–60,0–10
51,No,Travel_Rarely,684,Research & Development,6,Life Sciences,Male,51,Research Director,Single,19537,6462,7,No,13,23,5,20,18,15,15,51–60,11–20
31,Yes,Travel_Rarely,249,Sales,6,Life Sciences,Male,76,Sales Executive,Married,6172,20739,4,Yes,18,12,3,7,7,7,7,31–40,0–10
26,No,Travel_Rarely,841,Research & Development,6,Other,Female,46,Research Scientist,Married,2368,23300,1,No,19,5,3,5,4,4,3,18–30,0–10
58,Yes,Travel_Rarely,147,Research & Development,23,Medical,Female,94,Healthcare Representative,Married,10312,3465,1,No,12,40,3,40,10,15,6,51–60,31–40
19,Yes,Travel_Rarely,528,Sales,22,Marketing,Male,50,Sales Representative,Single,1675,26820,1,Yes,19,0,2,0,0,0,0,18–30,0
22,No,Travel_Rarely,594,Research & Development,2,Technical Degree,Male,100,Laboratory Technician,Married,2523,19299,0,No,14,3,2,2,1,2,1,18–30,0–10
49,No,Travel_Rarely,470,Research & Development,20,Medical,Female,96,Manufacturing Director,Married,6567,5549,1,No,14,16,2,15,11,5,11,41–50,11–20
43,No,Travel_Frequently,957,Research & Development,28,Medical,Female,72,Research Scientist,Single,4739,16090,4,No,12,18,2,3,2,1,2,41–50,0–10
50,No,Travel_Frequently,809,Sales,12,Marketing,Female,77,Sales Executive,Single,9208,6645,4,No,11,16,3,2,2,2,1,41–50,0–10
31,Yes,Travel_Rarely,542,Sales,20,Life Sciences,Female,71,Sales Executive,Married,4559,24788,3,Yes,11,4,2,2,2,2,2,31–40,0–10
41,No,Travel_Rarely,802,Sales,9,Life Sciences,Male,96,Sales Executive,Divorced,8189,21196,3,Yes,13,12,2,9,7,0,7,41–50,0–10
26,No,Travel_Rarely,1355,Human Resources,25,Life Sciences,Female,61,Human Resources,Married,2942,8916,1,No,23,8,3,8,7,5,7,18–30,0–10
36,No,Travel_Rarely,216,Research & Development,6,Medical,Male,84,Manufacturing Director,Divorced,4941,2819,6,No,20,7,0,3,2,0,1,31–40,0–10
51,Yes,Travel_Frequently,1150,Research & Development,8,Life Sciences,Male,53,Manufacturing Director,Single,10650,25150,2,No,15,18,2,4,2,0,3,51–60,0–10
39,No,Travel_Rarely,1329,Sales,4,Life Sciences,Female,47,Sales Executive,Married,5902,14590,4,No,14,17,1,15,11,5,9,31–40,11–20
25,No,Travel_Rarely,959,Sales,28,Life Sciences,Male,41,Sales Executive,Married,8639,24835,2,No,18,6,3,2,2,2,2,18–30,0–10
30,No,Travel_Rarely,1240,Human Resources,9,Human Resources,Male,48,Human Resources,Married,6347,13982,0,Yes,19,12,2,11,9,4,7,18–30,11–20
32,Yes,Travel_Rarely,1033,Research & Development,9,Medical,Female,41,Laboratory Technician,Single,4200,10224,7,No,22,10,2,5,4,0,4,31–40,0–10
45,No,Travel_Rarely,1316,Research & Development,29,Medical,Male,83,Research Scientist,Single,3452,9752,5,No,13,9,2,6,5,0,3,41–50,0–10
38,No,Travel_Rarely,364,Research & Development,3,Technical Degree,Female,32,Research Scientist,Single,4317,2302,3,Yes,20,19,2,3,2,2,2,31–40,0–10
30,No,Travel_Rarely,438,Research & Development,18,Life Sciences,Female,75,Research Scientist,Single,2632,23910,1,No,14,5,4,5,4,0,4,18–30,0–10
32,No,Travel_Frequently,689,Sales,9,Medical,Male,35,Sales Executive,Divorced,4668,22812,0,No,17,9,2,8,7,0,7,31–40,0–10
30,No,Travel_Rarely,201,Research & Development,5,Technical Degree,Female,84,Research Scientist,Divorced,3204,10415,5,No,14,8,3,3,2,2,2,18–30,0–10
30,No,Travel_Rarely,1427,Research & Development,2,Medical,Male,35,Laboratory Technician,Single,2720,11162,0,No,13,6,3,5,3,1,2,18–30,0–10
41,No,Travel_Frequently,857,Research & Development,10,Life Sciences,Male,91,Manager,Divorced,17181,12888,4,No,13,21,2,7,6,7,7,41–50,0–10
41,No,Travel_Rarely,933,Research & Development,9,Life Sciences,Male,94,Laboratory Technician,Married,2238,6961,2,No,21,7,2,5,0,1,4,41–50,0–10
19,No,Travel_Rarely,1181,Research & Development,3,Medical,Female,79,Laboratory Technician,Single,1483,16102,1,No,14,1,3,1,0,0,0,18–30,0–10
40,No,Travel_Frequently,1395,Research & Development,26,Medical,Female,54,Research Scientist,Divorced,5605,8504,1,No,11,20,2,20,7,2,13,31–40,11–20
35,No,Travel_Rarely,662,Sales,1,Marketing,Male,94,Sales Executive,Married,7295,11439,1,No,13,10,3,10,8,0,6,31–40,0–10
53,No,Travel_Rarely,1436,Sales,6,Marketing,Male,34,Sales Representative,Married,2306,16047,2,Yes,20,13,3,7,7,4,5,51–60,0–10
45,No,Travel_Rarely,194,Research & Development,9,Life Sciences,Male,60,Laboratory Technician,Divorced,2348,10901,8,No,18,20,2,17,9,0,15,41–50,11–20
32,No,Travel_Frequently,967,Sales,8,Marketing,Female,43,Sales Executive,Single,8998,15589,1,No,14,9,2,9,8,3,7,31–40,0–10
29,No,Non-Travel,1496,Research & Development,1,Technical Degree,Male,41,Manufacturing Director,Married,4319,26283,1,No,13,10,1,10,7,0,9,18–30,0–10
51,No,Travel_Rarely,1169,Research & Development,7,Medical,Male,34,Manufacturing Director,Married,6132,13983,2,No,17,10,2,1,0,0,0,51–60,0–10
58,No,Travel_Rarely,1145,Research & Development,9,Medical,Female,75,Research Scientist,Married,3346,11873,4,Yes,20,9,3,1,0,0,0,51–60,0–10
40,No,Travel_Rarely,630,Sales,4,Marketing,Male,67,Sales Executive,Married,10855,8552,7,No,11,15,2,12,11,2,11,31–40,11–20
34,No,Travel_Frequently,303,Sales,2,Marketing,Female,75,Sales Representative,Married,2231,11314,6,No,18,6,3,4,3,1,2,31–40,0–10
22,No,Travel_Rarely,1256,Research & Development,19,Medical,Male,80,Research Scientist,Married,2323,11992,1,No,24,2,6,2,2,2,2,18–30,0–10
27,No,Non-Travel,691,Research & Development,9,Medical,Male,57,Research Scientist,Divorced,2024,5970,6,No,18,6,1,2,2,2,2,18–30,0–10
28,No,Travel_Rarely,440,Research & Development,21,Medical,Male,42,Research Scientist,Married,2713,6672,1,No,11,5,2,5,2,0,2,18–30,0–10
57,No,Travel_Rarely,334,Research & Development,24,Life Sciences,Male,83,Healthcare Representative,Divorced,9439,23402,3,Yes,16,12,2,5,3,1,4,51–60,0–10
27,No,Non-Travel,1450,Research & Development,3,Medical,Male,79,Research Scientist,Divorced,2566,25326,1,Yes,15,1,2,1,1,0,1,18–30,0–10
50,No,Travel_Rarely,1452,Research & Development,11,Life Sciences,Female,53,Manager,Single,19926,17053,3,No,15,21,5,5,4,4,4,41–50,0–10
41,No,Travel_Rarely,465,Research & Development,14,Life Sciences,Male,56,Research Scientist,Divorced,2451,4609,4,No,12,13,2,9,8,1,8,41–50,0–10
30,No,Travel_Rarely,1339,Sales,5,Life Sciences,Female,41,Sales Executive,Married,9419,8053,2,No,12,12,2,10,9,7,4,18–30,0–10
38,No,Travel_Rarely,702,Sales,1,Life Sciences,Female,59,Sales Executive,Single,8686,12930,4,No,22,12,2,8,3,0,7,31–40,0–10
32,No,Travel_Rarely,120,Research & Development,6,Life Sciences,Male,43,Research Scientist,Single,3038,12430,3,No,20,8,2,5,4,1,4,31–40,0–10
27,No,Travel_Rarely,1157,Research & Development,17,Technical Degree,Male,51,Research Scientist,Married,3058,13364,0,Yes,16,6,3,5,2,1,1,18–30,0–10
19,Yes,Travel_Frequently,602,Sales,1,Technical Degree,Female,100,Sales Representative,Single,2325,20989,0,No,21,1,5,0,0,0,0,18–30,0
36,No,Travel_Frequently,1480,Research & Development,3,Medical,Male,30,Laboratory Technician,Single,2088,15062,4,No,12,13,3,8,7,7,2,31–40,0–10
30,No,Non-Travel,111,Research & Development,9,Medical,Male,66,Laboratory Technician,Divorced,3072,11012,1,No,11,12,4,12,9,6,10,18–30,11–20
45,No,Travel_Rarely,1268,Sales,4,Life Sciences,Female,30,Sales Executive,Divorced,5006,6319,4,Yes,11,9,3,5,4,0,3,41–50,0–10
56,No,Travel_Rarely,713,Research & Development,8,Life Sciences,Female,67,Research Scientist,Divorced,4257,13939,4,Yes,18,19,3,2,2,2,2,51–60,0–10
